TAME ID, Legacy TAME ID, Site Name
F3D8D9797FE758BFE0438DC611AC8552,30361818,TAME Site 30361818 on link A5 northbound between A460 and M6; GPS Ref: 396020;309336; Northbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Average Speed in MPH, Cat 1 Speed Count, Cat 2 Speed Count, Cat 3 Speed Count, Cat 4 Speed Count, Cat 5 Speed Count, Cat 6 Speed Count, Cat 7 Speed Count, Cat 8 Speed Count, Cat 9 Speed Count, Cat 10 Speed Count, Cat 11 Speed Count, Cat 12 Speed Count, Cat 13 Speed Count, Cat 14 Speed Count, Cat speed counts included flag, Quality Index, Network Link Id, NTIS Model Version
2018-05-01,00:14:00,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,00:29:00,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,00:44:00,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,00:59:00,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,01:14:00,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,01:29:00,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,01:44:00,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,01:59:00,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,02:14:00,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,02:29:00,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,02:44:00,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,02:59:00,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,03:14:00,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,03:29:00,1,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,03:44:00,1,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,03:59:00,1,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,04:14:00,1,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,04:29:00,1,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,04:44:00,1,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,04:59:00,1,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,05:14:00,1,43,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,05:29:00,1,33,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,05:44:00,1,53,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,05:59:00,1,73,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,06:14:00,1,84,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,06:29:00,1,127,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,06:44:00,1,160,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,06:59:00,1,184,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,07:14:00,1,221,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,07:29:00,1,272,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,07:44:00,1,282,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,07:59:00,1,299,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,08:14:00,1,224,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,08:29:00,1,247,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,08:44:00,1,227,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,08:59:00,1,178,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,09:14:00,1,171,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,09:29:00,1,162,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,09:44:00,1,133,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,09:59:00,1,157,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,10:14:00,1,127,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-01,10:29:00,1,148,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
